sizes,naive,better,blas
100,0.001314,0.000396,0.000847
100,0.001277,0.000402,0.000697
100,0.001233,0.000362,0.000697
100,0.00117,0.000339,0.000651
100,0.001146,0.000432,0.00071
100,0.001328,0.000364,0.000655
100,0.001169,0.000345,0.000652
100,0.001106,0.000322,0.000637
100,0.001085,0.000324,0.000644
100,0.001104,0.000327,0.000636
200,0.01081,0.003147,0.005135
200,0.011738,0.003191,0.00501
200,0.013077,0.004865,0.006729
200,0.012383,0.003904,0.007544
200,0.012963,0.003361,0.006182
200,0.010658,0.003986,0.006198
200,0.010051,0.003207,0.006059
200,0.010246,0.004223,0.004946
200,0.01058,0.002929,0.006325
200,0.010187,0.002848,0.005967
300,0.038053,0.01214,0.015822
300,0.035477,0.009538,0.015373
300,0.034257,0.00928,0.016959
300,0.034231,0.009206,0.015483
300,0.034275,0.009442,0.01528
300,0.034565,0.009224,0.021654
300,0.037014,0.011432,0.018416
300,0.038319,0.011089,0.019287
300,0.036562,0.010259,0.01883
300,0.035033,0.009462,0.018898
400,0.112216,0.034579,0.061705
400,0.117482,0.034236,0.055377
400,0.094134,0.021278,0.036102
400,0.078352,0.021252,0.035615
400,0.079152,0.02133,0.035756
400,0.10574,0.027796,0.047203
400,0.08887,0.021408,0.035854
400,0.081497,0.02476,0.036308
400,0.079514,0.021008,0.035645
400,0.078533,0.021038,0.03562
500,0.169063,0.058482,0.100548
500,0.169917,0.042594,0.080197
500,0.161183,0.04219,0.070392
500,0.150007,0.04126,0.070105
500,0.150765,0.041735,0.080725
500,0.160771,0.060598,0.109365
500,0.187324,0.040698,0.074373
500,0.150783,0.04133,0.074942
500,0.15254,0.045904,0.070438
500,0.149466,0.040858,0.070549
600,0.264653,0.074272,0.130415
600,0.270425,0.073485,0.124688
600,0.259093,0.074009,0.124753
600,0.262522,0.07327,0.124315
600,0.261902,0.07376,0.124861
600,0.442537,0.146521,0.213295
600,0.321867,0.074624,0.127598
600,0.265627,0.074566,0.123935
600,0.265424,0.076033,0.124035
600,0.259088,0.073255,0.12399
700,0.515236,0.133931,0.21417
700,0.458417,0.128589,0.212508
700,0.569948,0.12861,0.21226
700,0.435904,0.128679,0.228735
700,0.486128,0.132126,0.221479
700,0.462654,0.130657,0.21214
700,0.466672,0.129218,0.211031
700,0.458687,0.127852,0.213172
700,0.455406,0.128232,0.212034
700,0.491211,0.138313,0.212599
800,0.812124,0.217146,0.326856
800,0.790957,0.216146,0.351272
800,0.925904,0.217966,0.355947
800,0.788509,0.213958,0.345646
800,0.721534,0.220614,0.352896
800,0.764381,0.214423,0.355703
800,0.776732,0.215147,0.360934
800,0.761783,0.220529,0.351413
800,0.821794,0.217637,0.345168
800,0.913437,0.231318,0.342952
900,1.565651,0.339135,0.484596
900,1.392145,0.340066,0.505475
900,1.401623,0.347362,0.497627
900,1.350102,0.34014,0.578717
900,1.432538,0.336715,0.508992
900,1.391632,0.341281,0.499415
900,1.373517,0.345778,0.502881
900,1.419192,0.33357,0.509333
900,1.537826,0.345089,0.500908
900,1.381786,0.339614,0.498609
1000,2.360502,0.479942,0.68072
1000,2.349999,0.495434,0.693785
1000,2.29303,0.47929,0.694566
1000,2.328887,0.483145,0.692413
1000,2.32755,0.491857,0.683395
1000,2.345331,0.480245,0.695016
1000,2.27743,0.493505,0.681641
1000,2.42941,0.477321,0.694238
1000,2.243041,0.494383,0.696865
1000,2.307027,0.479586,0.748087
